Date,Type,Link
2023-01-06 00:16:11,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016065230078189568
2023-01-03 18:04:45,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7016056797446692866
2023-01-03 18:01:52,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006287552957595648
2023-01-03 18:01:41,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7012298763755032576
2023-01-03 17:32:06,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7014222733425168384
2023-01-03 01:36:28,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7013716711300321280
2023-01-03 01:35:27,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7011686883315384320
2022-12-13 17:55:30,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006573401360236544
2022-12-10 18:49:14,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7006663455319482368
2022-11-12 19:47:09,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6993345863955734528
2022-11-07 20:31:59,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6992929097580507136
2022-10-27 01:22:34,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6985942583332020224
2022-10-27 01:22:05,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6991086951646863360
2022-10-06 03:55:19,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6983471835208196096
2022-09-17 23:35:42,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6975147470741794816
2022-08-30 02:36:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6966465134420537344
2022-07-30 14:25:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6948276069548380160
2022-07-30 14:24:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6955976607253610496
2022-01-04 02:17:00,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6883014105255432192
2021-12-21 17:24:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6877039015132991488
2021-12-21 17:20:00,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6878019195733331968
2021-11-21 22:20:43,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6867574865117937664
2021-11-21 22:18:37,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6867594213761040384
2021-11-13 17:11:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6864641941150187520
2021-11-11 00:42:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6864219684393242624
2021-08-05 00:56:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6828154073703829504
2021-08-02 22:02:41,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6826977999770935296
2021-07-18 16:31:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6821974407272034304
2021-07-16 22:04:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6821910419213438976
2021-07-16 02:22:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6821576982124351488
2021-07-15 21:23:23,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6821294654684712960?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6821294654684712960%2C6821506413681106944%29
