Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2024-12-12 21:58:53,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7273093985034813442,"Last week marked the conclusion of an incredible journey as I showcased my Capstone project at the Georgia Tech Junior Design Expo in collaboration with Google. This year-long effort was the culmination of hard work, invaluable mentorship, and joyful teamwork.""
""""
""Our final project, the ChromeOS Converter, is a web application, designed for Chromebooks, that supports file conversions across more than 10 formats with reliable speed and high-quality results. It was an incredible learning experience, allowing me to gain knowledge across multiple areas, including design, prototyping, user research, and software development.""
""This achievement would not have been possible without the dedication of my phenomenal teammates—Hana Wilson, Husna Jakeer Hussain, Mahibah Saleh, and Samreen Farooqui. I am deeply grateful for the memories we created and the collective determination that brought this vision to life.""
""""
""I would also like to express my heartfelt gratitude to Joy Robinson and Sam Richard for their professional guidance and unwavering support throughout these two semesters. I would also like to thank Dixie Ching for her insightful career advice and, finally, to our dedicated professors who provided invaluable support throughout this journey.""
""""
""This experience has been truly transformative, and I am excited to carry the knowledge and skills I have gained into future endeavors!","","",MEMBER_NETWORK
2021-10-31 17:49:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6860633879888310272,"So glad to have already completed 4 weeks of my internship at DataSeers! ""
""It feels like just yesterday that I had my interview with Ms. Apryle Budreski and met Ms. Gracie O., Ms. Gurjot Kaur Bandasha, and Mr. Adwait Joshi for the first time. ""
""Thank you Isabel Araneta for helping me learn about the excellent work DataSeers does, I have already learned so many skills from you!""
""Everyone in the DataSeers family is so welcoming and it's truly a privilege to be a part of their team. I am so thankful for this opportunity and look forward to working more with everyone.""
""#DataSeers #internship","","",MEMBER_NETWORK
2021-07-15 04:29:39,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6821294654256906240,"So excited to learn I was Cisco High's ATL Extern of the day!""
""I've learned so much from the program just 6 days in and met so many inspiring and successful executive speakers/sponsors, wonderful site leads, interns, and other externs. ""
""Thank you Cisco High for this opportunity where I've already learned so much!""
""#ciscohigh","","",MEMBER_NETWORK
