Challenge Date,IP Address,User Agent,Country,Challenge Type
Sun Dec 31 18:15:48 UTC 2023,2607:fb90:e3b9:604e:d51d:962f:3302:843e,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Mobile/15E148 Safari/604.1",United States,EMAIL_PIN_CHALLENGE
Mon Apr 15 02:06:23 UTC 2024,2607:fb90:e336:487:4813:efa:7a72:4960,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1",United States,EMAIL_PIN_CHALLENGE
Fri Jul 05 16:19:00 UTC 2024,34.145.226.20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",United States,EMAIL_PIN_CHALLENGE
Thu Mar 20 21:08:12 UTC 2025,2601:cb:8002:c190:2164:a2d2:a296:47c4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Fri May 23 16:57:54 UTC 2025,170.85.56.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,EMAIL_PIN_CHALLENGE
