School Name,Start Date,End Date,Notes,Degree Name,Activities
Georgia Institute of Technology,,,,Bachelor of Science - BS,
The University of Georgia,Aug 2022,May 2023,,Bachelor of Science - BS,
Northview High School,2018,2022,,,"Executive Director of ProjectCSGIRLS Atlanta Chapter, Founder/Co-President of NHS Girls In Technology Club (mentoring/hosting computer science workshops around  Metro Atlanta Area), President of Team Naatya and VP of Team Naach Clubs (Indian classical and contemporary dance forms/spreading indian culture through dance), Computer science Honors, French National Honors Society member, National English Honors Society, and Ex-Member of National Math Honors, FBLA Member, Girls In Stem Member"
