Name,Url,Authority,Started On,Finished On,License Number
Introduction to IoT,https://www.credly.com/badges/b3c99c3f-4648-474f-be64-fa2837e05ca8?source=linked_in_profile,Cisco,Jun 2021,,
Introduction to Cybersecurity,https://www.credly.com/badges/90ddcf49-9955-4265-8738-a3cfb9345526?source=linked_in_profile,Cisco,Jun 2021,,
2021 AT&T Summer Learning Academy Extern,https://www.credly.com/badges/7fcc94ef-f57d-4c2e-864e-5689831915f2?source=linked_in_profile,AT&T,Aug 2021,,
Artificial Intelligence Fundamentals,https://www.credly.com/badges/f76a6430-43f2-4cea-b90b-43effa1f7edc/public_url,IBM,Dec 2023,,
